kappa,C,H_inv_norm,dG_norm,emp_mean,emp_std,emp_max
1.9952623149688795,0.1867356544315529,2.4079184153967748,0.07755065671557762,0.02465684972145037,0.008035052149905277,0.052895301802802414
2.472312976022352,0.17007576382401413,2.033659523376185,0.08363040217354693,0.02448447687815611,0.00821442212182496,0.05109710210490986
3.0634224911443955,0.1743125858699529,2.1677146812180585,0.08041306698721304,0.02444951683600764,0.00824349246074677,0.04935020677114242
3.795861385781316,0.18548404523220494,2.157347822165189,0.08597781188850981,0.024298865221605688,0.008339293448929558,0.05693800067686544
4.703420341698633,0.1771135501883018,2.0364648671489722,0.08697108064341849,0.023616805502341222,0.007740256196135901,0.04832855766947583
5.82796911224697,0.20073400727483517,2.110099226884156,0.09513012692357876,0.021657555708138203,0.0074990780994451025,0.04655157844736847
7.22138816133075,0.1783402228048763,1.7188458552931,0.1037557976799877,0.02227841108111656,0.007842488848027216,0.0472302079353625
8.94796214122386,0.19438401046536197,1.5480141094047128,0.12556992167216882,0.022517519740649864,0.00817221463068416,0.050372981958361006
11.087345631067828,0.18027997651629876,1.4916521039799933,0.12085926472753244,0.02290925300620238,0.008878490904910922,0.06567698681948815
13.73823795883263,0.12050797837707664,1.3400432205238797,0.08992842658460297,0.0218923616775458,0.007744911819865841,0.050237735744034846
17.02293664271132,0.10760770821351177,1.0749109572933149,0.10010848571538793,0.02236532409354356,0.008671474053914881,0.047821689415803594
21.092979522563674,0.09961543066384115,0.7455951418358623,0.13360525716216484,0.021682505100210827,0.008814690461305624,0.05234648234269769
26.13613587816461,0.09929436279874702,0.7923244744143333,0.12532032772576282,0.021630243183550498,0.008983777651889109,0.052646902881907084
32.3850690658073,0.20504836789015077,1.7266738801860875,0.1187533848997891,0.016309019121239197,0.005924401794044313,0.03487403303728555
40.128070319427785,0.10006450332323166,0.8788338515359689,0.11386054730179704,0.022491482638791284,0.009180037963267645,0.0513769312456644
49.72235891449995,0.09582015434536208,0.7619462852878565,0.1257570988867832,0.01973883554174298,0.007402925589878485,0.05014440380607473
61.610562290741335,0.3223238731156093,1.4001037510768979,0.23021427724030594,0.020366209510840862,0.0114052320167371,0.07750956992716929
76.34113643539095,0.18040235127160073,1.1868405153711394,0.1520021847376745,0.017925800502981325,0.007361675367076047,0.05063986117446736
94.59366861066262,0.22016162015616614,1.0997419417389962,0.20019389258540937,0.021268091738949897,0.020563339580545577,0.2680844287608047
117.21022975334806,0.1990530850066031,1.5464343626256076,0.12871744822628073,0.017299337326277944,0.007828123736138795,0.053941647653262634
145.23422297297446,0.27715416579583724,1.587744646601545,0.1745584004260799,0.018229257834478013,0.008963834658885391,0.05422573063106954
179.95852040347316,0.1093907206437729,0.8945123608619794,0.12229089885170583,0.05625067042700806,0.10468699238564783,0.45254415911890433
222.98510917659945,2.006104424297935,11.760018473160507,0.17058684294386098,0.3234569644402092,0.30843497869971,0.6571587469015394
276.29899825260117,0.5486972330065607,2.4769612045097245,0.22152031772139388,0.021207162857804485,0.012715161819616098,0.07226069130122229
342.359795760758,0.18520684599343318,1.060677459009842,0.17461184304446942,0.01654801983017971,0.012618562846311016,0.24441235592092225
424.2151817220517,1.353165784712072,15.016356934257146,0.09011278771784287,0.01585538410611697,0.00713094142231879,0.041782192075703106
525.6415111581288,0.5870755369489071,2.006130444436352,0.29264075951643986,0.020041870347651647,0.025356508008845865,0.3283095847208274
651.3180342367707,0.365213408683076,2.814506847212615,0.1297610659731633,0.07819839075749047,0.1420622675019511,0.46164376588759737
807.04277100831,3.6029993138475853,18.41378423779698,0.19566859627104263,0.02413219782553242,0.012400416227404813,0.0732645748226212
1000.0,0.8321581227470565,5.154638516224953,0.16143869645324715,0.15290876217219493,0.17672665218287378,0.48304855930747254
