T,emp_mean,emp_std,theoretical_bound
50,0.04647429693979042,0.05566284555845683,0.055027514960531966
100,0.027158277323385674,0.02337813409040939,0.038910328980436344
200,0.018264849171740677,0.00836998207969562,0.027513757480265983
500,0.011679547534769484,0.005310980605119811,0.017401228125427153
1000,0.008156232734420647,0.0036551444644675932,0.012304526408463613
2000,0.005797898111585131,0.0026061536515748565,0.008700614062713576
5000,0.0037484797770901902,0.00175940029609233,0.005502751496053196
