date,kappa,C,turnover
2007-10-09,635.1395749049665,21116.406843136196,
2007-10-10,636.864431057912,21169.977142413536,0.001256328823543677
2007-10-11,637.1844358784181,21174.773455184564,0.0009154902005383929
2007-10-12,641.0936822125135,21100.938469364817,0.002159038678980601
2007-10-15,644.628694010867,21276.774591805206,0.002273966551591431
2007-10-16,642.5253609800859,21397.07024399614,0.0009365324586733895
2007-10-17,642.426167757543,20916.768478130867,0.005092304288323196
2007-10-18,628.7918808422994,20328.104948962897,0.004716021120014317
2007-10-19,661.6838715648148,20893.616001879152,0.0046420060755811825
2007-10-22,649.2258959505942,20727.248922442122,0.002729275832637478
2007-10-23,646.7879335822036,20651.931240472764,0.00228270622867484
2007-10-24,647.6568975484333,20454.378833545597,0.004120530932539989
2007-10-25,640.5696091856943,20468.584018110945,0.001018664144307374
2007-10-26,667.7444614691216,20730.379715309355,0.0032825897550894465
2007-10-29,666.2003400128046,20719.922007164176,0.0020008277490656083
2007-10-30,666.8515942708827,20825.993613803013,0.003290818872970858
2007-10-31,678.6715444460658,21420.83188226256,0.005085498679619854
2007-11-01,710.9164873557493,51712.86752870274,0.24309195635682407
2007-11-02,684.408399141458,21631.348667760583,0.24351101721065893
2007-11-05,670.9026178895716,21230.93119777244,0.004428851512049107
2007-11-06,663.6574119502242,21495.29007800934,0.0040145435510215086
2007-11-07,668.4404232223815,21616.615214832156,0.0051203732830343435
2007-11-08,638.6938201037224,21627.627031171734,0.001840257494484224
2007-11-09,644.7999508712167,21600.008288234323,0.0011368754239589086
2007-11-12,648.4319611621626,21593.14081499994,0.008840342524861591
2007-11-13,683.5962954466953,21846.90035400954,0.0021381524993038976
2007-11-14,684.3836105981919,22092.1327459322,0.0020490441544106924
2007-11-15,690.7360594370904,22418.78022478819,0.002524281395613037
2007-11-16,688.9258374124122,22455.625635885324,0.0003054916231323441
2007-11-19,701.0274103161172,22823.80703547016,0.0017891813214634903
2007-11-20,706.1154872141357,23015.043531722873,0.002060759352209427
2007-11-21,699.9844573745987,23600.54619626815,0.005796215515088807
2007-11-23,694.5416171349968,23866.262012373023,0.004293436890987283
2007-11-26,730.0736161475916,22312.91034509969,0.009437030994684466
2007-11-27,709.4853026541464,20961.48878830424,0.008426106116407017
2007-11-28,722.6554200715606,20949.162497493777,0.002149469463776213
2007-11-29,724.0452564436836,20924.976026052762,0.00047714741391851993
2007-11-30,706.4983414723335,20895.6165775711,0.0014616306954054782
2007-12-03,706.4522386631364,21290.835236377683,0.0032689570717478796
2007-12-04,705.1213334114833,21346.43331731063,0.002016004863964473
2007-12-05,693.2878948837798,26430.90836608872,0.016582862166669283
2007-12-06,712.0535058421256,26544.97050337724,0.0012560956659769286
2007-12-07,713.6406454353453,24617.14857998229,0.0069075484153485155
2007-12-10,712.6270464222406,28075.3309001457,0.011926182622981434
2007-12-11,753.1735841061683,28462.878890306605,0.006157669289910621
2007-12-12,759.5009590581387,28643.550732897627,0.0017326622079875467
2007-12-13,741.9175244603559,25584.989506539485,0.013518883958386796
2007-12-14,751.9600051530435,24180.973603242084,0.0140191369574524
2007-12-17,766.9683098346526,24733.817284631456,0.003520164536577065
2007-12-18,761.4204412182025,25959.750547192954,0.0039094995168376875
2007-12-19,769.060958270504,24469.69870644851,0.004715474885739654
2007-12-20,775.1651865328508,24346.685783130586,0.0015786870254275564
2007-12-21,783.0519326569784,24409.168838523132,0.0009246779273512709
2007-12-24,788.6270707164238,24518.340224500207,0.0021503049326729706
2007-12-26,783.8694046097802,24217.254804555578,0.003167107491730794
2007-12-27,790.3847989884296,23975.510116621503,0.0012421780074903244
2007-12-28,791.2712921009193,23608.892334216696,0.005575619038700415
2007-12-31,785.1813685258513,23873.867888542187,0.003963978030295533
2008-01-02,771.6308793978858,23262.596295046314,0.011421149637962213
2008-01-03,740.0882626508395,24067.16024671805,0.0037760565239139295
2008-01-04,753.993515697355,23730.956835204484,0.006891574032178936
2008-01-07,758.5814341919335,24014.45045682346,0.0016068873282024335
2008-01-08,775.393957734471,24212.062935880145,0.003141444776189835
2008-01-09,790.0393393527787,24524.55267043434,0.002890809276568481
2008-01-10,745.8587025385134,24402.932632077333,0.0016645171844995414
2008-01-11,749.0322645273227,24381.646641989024,0.0016596634611880032
2008-01-14,753.9890787579225,24436.51713326622,0.0014485692812064698
2008-01-15,764.7340077869763,24850.020029915,0.002722645160127598
2008-01-16,773.2283684234051,24308.956591105212,0.003944903697045135
2008-01-17,780.3943093781005,24388.19035702447,0.0007469464182028318
2008-01-18,776.2369945528334,24410.77486154316,0.0007363430674746773
2008-01-22,750.6211709615599,23389.904242781948,0.005638439693372466
2008-01-23,712.1730462106335,23621.280894498952,0.004505381005226804
2008-01-24,698.9261068005826,23184.947324729383,0.004149310381038858
2008-01-25,684.609101259639,21663.868821677494,0.015287827294079317
2008-01-28,686.1171792836468,21934.12026352517,0.00844355683408091
2008-01-29,679.3997406032557,21437.744732637388,0.006275087854558346
2008-01-30,675.1910279900154,21427.042499288236,0.0022062830826613256
2008-01-31,681.1374168882784,20861.305133324175,0.0037829437153851526
2008-02-01,685.5458011846732,20599.058901344735,0.00379314810038741
2008-02-04,663.3650949337936,19524.864738029308,0.006244441763442361
2008-02-05,689.6111930837103,20019.5522784656,0.007340374018474972
2008-02-06,689.2176393280627,19711.461566111993,0.0033864142192910913
2008-02-07,681.5395259684915,18245.70352258259,0.009075773565157656
2008-02-08,676.2859135670284,17409.81110184619,0.010898393339892735
2008-02-11,675.4973844116869,17666.084720972172,0.003326581155278077
2008-02-12,673.8334708792746,17687.92557616266,0.001993619719919893
2008-02-13,653.0288651110629,17486.283863292992,0.004893946111391614
2008-02-14,656.2437268491421,16983.155945910294,0.0058625090508194755
2008-02-15,649.7593315840955,17033.643923862106,0.005926300426754931
2008-02-19,659.5236402956491,17097.34343010984,0.003918805072373223
2008-02-20,612.2527810064903,17261.03005533886,0.0030891324321265148
2008-02-21,605.0915052547887,16942.605596787147,0.0018590380859934783
2008-02-22,610.3597198790324,16818.2136872739,0.005196323225273287
2008-02-25,623.2369030245497,16690.085325781638,0.0014017851527293734
2008-02-26,624.2780614529648,16387.85142341021,0.00531299757636107
2008-02-27,620.0291798855083,16384.69793826391,0.0005333049792495739
2008-02-28,603.1901679064573,15384.810019386483,0.0076840176193920355
2008-02-29,599.1979045740733,15304.850811712104,0.003367051708903097
2008-03-03,595.9990604433435,15404.374842630381,0.0008721999006677823
2008-03-04,594.8336229576095,14901.94550942581,0.007860970259235527
2008-03-05,583.7925926288386,14831.600317920498,0.0029085399470156342
2008-03-06,568.5574795758324,15136.60796045814,0.006726320107020279
2008-03-07,560.0417149545439,15139.61434771432,0.0015343909840863403
2008-03-10,563.5412387026239,15115.223071566204,0.0013874860895193228
2008-03-11,598.5780567992942,15442.14237132516,0.0037996814874233092
2008-03-12,597.1301803076697,14719.702706740594,0.007729986153857513
2008-03-13,597.4717156894554,14427.785409283375,0.00543652928364018
2008-03-14,590.9185629284474,14693.303143173187,0.004930155916146343
2008-03-17,591.7196999687081,14713.286698653345,0.002029170095952635
2008-03-18,620.7402096074358,15015.97694758357,0.011464220416936075
2008-03-19,644.144736203302,15669.253011385037,0.007453178429341421
2008-03-20,643.5993710931291,15481.106307306885,0.0040500193220440895
2008-03-24,580.8715570265797,16773.118851863277,0.025896683765393322
2008-03-25,581.3668609960129,16674.338609355495,0.0036110139789946056
2008-03-26,578.907010731222,16748.341683142902,0.003507582724600373
2008-03-27,573.1319117868054,16673.294007929635,0.003282714436028275
2008-03-28,563.5638710684077,16663.716388116645,0.0010391783847251077
2008-03-31,561.4738857110706,16882.284602079788,0.0028115557310518183
2008-04-01,575.128800115786,16928.740460822337,0.0008731335697446177
2008-04-02,539.1869978222917,17281.47009074564,0.006683121073771024
2008-04-03,539.0268212678391,17312.12337028988,0.0007746567847439281
2008-04-04,535.1074481127743,16919.874942231465,0.00716599881929997
2008-04-07,513.4983020127056,17010.376699221008,0.003981128042665804
2008-04-08,510.2465560033751,17198.316030584392,0.002626545476200493
