k,kappa,C,emp_mean,emp_std
1,317.77640687998695,40.987205917776706,0.15760589679282186,0.2001977153570733
2,174.21170029393193,7.381969695818479,0.27978004441778614,0.1597099742216604
3,119.81136087658906,4.880589646572433,0.0617303009106346,0.07324530964919708
5,83.21121999933636,13.114845066973723,0.3063255341636267,0.08519435059029415
8,61.36689696218395,6.604476909581615,0.2060225297199473,0.15595903444377615
